Entrez_ID,Gene,mouse_scBAT_count,mouse_iBAT_counts,mouse_WAT_count,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu,Human_Genbank_Accession,Human_Gene,Human_scBAT_FPKM,Human_WAT_FPKM,MouseSCBATvsWAT_LR,MouseSCBATvsWAT_PV
12660,Chka,240,227.3333,477.6667,525.8633,338.46,372.8333,388.74,270.5867,183.8767,NM_001277,CHKA,7.56,2.38,0,0.62448
218543,Srek1,759.6667,790.6667,1683.6667,187.888,139.85,139.018,208.61,115.95,170.958,NM_001270492,SREK1,5.93,2.61,0,0.14845
76080,Ttpal,495.6667,439,2349.6667,75.1025,111.565,117.2225,186.9725,160.1025,214.04,NM_001039199,TTPAL,11.76,2.1,0,5.19e-05
22791,Dnajc2,509,469.3333,1355.3333,430.7275,292.74,331.52,702.9125,227.2975,376.4075,NM_001129887,DNAJC2,18.14,4.78,0,0.065918
20296,Ccl2,9.3333,8.6667,107.3333,11222.35,2323.02,1965.52,11083.24,12961.02,7921.85,NM_005408,CCL13,9.89,4.49,0,8.79e-07
14420,Galc,770,769,750.3333,29.1667,22.37,26.88,20.0233,27.9333,19.86,NM_000153,GALC,2.97,0,1,0.030797
225443,Gm94,0,0,0,9.4,9.26,17.09,21.32,17.34,5.92,NM_206966,C5orf46,2.28,0.21,1,1
94226,S1pr5,102.6667,125.6667,18.3333,19.85,3.67,11.08,6.18,1.6,11.27,NM_030760,S1PR5,0.86,0.31,1,1.91e-09
15901,Id1,1235.6667,1146.3333,833.6667,1948.77,694.78,1677.36,1999.77,2204.36,2152.72,NM_181353,ID1,10.96,1.62,1,0.002435
72323,Asb6,340.6667,299.6667,760,237.54,195.71,243.305,248.81,283.065,250.46,NM_017873,ASB6,5.17,1.9,0,0.25608
70834,Spag9,5339.6667,5328,6894.3333,735.3567,1067.9133,872.8467,650.9767,624.0867,703.88,NM_001251971,SPAG9,8.66,3.43,1,0.25621
15465,Hrh1,7.3333,4.6667,49.6667,27.305,21.56,38.635,30.725,56.44,38.3,NM_001098212,HRH1,5.37,1.62,0,0.0012188
67139,Mis12,504.6667,455.3333,969,315.6,261.83,377.1,330.99,267.11,226.77,NM_001258218,MIS12,4.88,1.72,0,0.55544
328234,Rnf182,109,199.6667,5,19.095,16.32,18.69,31.74,23.46,23.18,NM_001165033,RNF182,1.54,0.52,1,9.29e-18
319565,Syne2,4408,4075,4462.6667,28.135,38.615,34.455,23.16,20.955,21.22,NM_015180,SYNE2,3.2,0.53,1,0.08028
545622,Ptpn3,154.6667,77.3333,339.6667,137.22,178.62,163.56,130.22,113.7,78.67,NM_002829,PTPN3,3.72,1.65,0,0.27317
18003,Nedd9,239.6667,293.6667,2887.6667,160.4475,146.5875,155.6675,55.3475,49.31,71.5,NM_001271033,NEDD9,13.86,2.16,0,7.35e-10
13605,Ect2,20,15.6667,171,15.51,30.34,23.32,88.33,23.82,35.19,NM_001258315,ECT2,5.44,2.28,0,7.82e-05
214791,Sertad4,42.6667,23.6667,106.3333,117.1,165.63,137.75,198.29,206.64,152.93,NM_019605,SERTAD4,2.88,1.18,0,0.2079
434234,2610020H08Rik,326.3333,325.6667,470,79.59,143.015,62.7075,98.345,102.485,148.6475,NM_001144924,LOC81691,0.72,0,1,0.60282
12448,Ccne2,31.6667,37.6667,59,132.1,143.41,131.44,158.86,40.29,146.1,NM_057749,CCNE2,11.43,5.67,0,0.70503
