Var1,Var2
1415670_at,1466.93
1415671_at,1454.25
1415672_at,2943.65
1415673_at,1829.35
1415674_a_at,523.85
1415675_at,771.82
1415676_a_at,2701.49
1415677_at,384.84
1415678_at,2013.06
1415679_at,1747.62
1415680_at,981.3
1415681_at,1541.68
1415682_at,270.74
1415683_at,4355.91
1415684_at,452.06
1415685_at,374.62
1415686_at,1539.03
1415687_a_at,8763.85
1415688_at,3316.39
1415689_s_at,669.79
1415690_at,1653.09
1415691_at,4585.4
1415692_s_at,5598.8
1415693_at,783.6
1415694_at,325.1
1415695_at,7610.78
1415696_at,2707.23
1415697_at,1528.38
1415698_at,493.36
1415699_a_at,1976.25
1415700_a_at,3973.79
1415701_x_at,17622.38
1415702_a_at,2010.09
1415703_at,568.65
1415704_a_at,4371.92
1415705_at,794.52
1415706_at,3770.03
1415707_at,683.23
1415708_at,1962.25
1415709_s_at,303.94
1415710_at,1379.71
1415711_at,1068.67
1415712_at,706.87
1415713_a_at,1397.97
1415714_a_at,2408.51
1415715_at,447.47
1415716_a_at,11786.68
1415717_at,203.81
1415718_at,1617.92
1415719_s_at,508.86
1415720_s_at,374.97
1415721_a_at,293.87
1415722_a_at,941.28
1415723_at,5356.18
1415724_a_at,1734.53
1415725_at,828.81
1415726_at,3045.59
1415727_at,778.04
1415728_at,298.9
1415729_at,1812.95
1415730_at,724.2
1415731_at,192.63
1415732_at,306.73
1415733_a_at,2780.79
1415734_at,4601.6
1415735_at,2916.8
1415736_at,2034.53
1415737_at,1934.94
1415738_at,617.2
1415739_at,802.88
1415740_at,2114.19
1415741_at,2853.42
1415742_at,762.08
1415743_at,936.73
1415744_at,1175.19
1415745_a_at,615.37
1415746_at,251.42
1415747_s_at,2999.73
1415748_a_at,613.87
1415749_a_at,1895.11
1415750_at,275.41
1415751_at,1101.2
1415752_at,3107.76
1415753_at,683.34
1415754_at,1812.86
1415755_a_at,1033.49
1415756_a_at,499.95
1415757_at,181.02
1415758_at,543.03
1415759_a_at,1516.11
1415760_s_at,3467.96
1415761_at,1810.54
1415762_x_at,2148.31
1415763_a_at,686.02
1415764_at,3992.03
1415765_at,166.27
1415766_at,451.23
1415767_at,690.5
1415768_a_at,4158.44
1415769_at,668.4
1415770_at,488.29
1415771_at,6262.62
1415772_at,427.27
1415773_at,1418.98
1415774_at,227.8
1415775_at,4497.13
1415776_at,219.04
1415777_at,14.46
1415778_at,6827.77
1415779_s_at,13330.99
1415780_a_at,699.61
1415781_a_at,12479.51
1415782_at,10066.66
1415783_at,2765.12
1415784_at,45.5
1415785_a_at,2463.72
1415786_at,10.11
1415787_at,1238.48
1415788_at,592.82
1415789_a_at,204.21
1415790_at,230.37
1415791_at,864.2
1415792_at,416.49
1415793_at,132.09
1415794_a_at,1674.03
1415795_at,185.66
1415796_at,4418.65
1415797_at,171.02
1415798_at,29.39
1415799_at,826.33
1415800_at,3745.94
1415801_at,71.96
1415802_at,2742.59
1415803_at,384.49
1415804_at,27.06
1415805_at,42.18
1415806_at,671.07
1415807_s_at,689.76
1415808_at,8.34
1415809_at,3.4
1415810_at,164.1
1415811_at,27.25
1415812_at,8703.74
1415813_at,1657.59
1415814_at,1686.24
1415815_at,1.78
1415816_at,4176.98
1415817_s_at,2135.74
1415818_at,418.17
1415819_a_at,682.41
1415820_x_at,2280.13
1415821_at,4538.65
1415822_at,5439.03
1415823_at,282.33
1415824_at,36.81
1415825_s_at,783.78
1415826_at,2362.39
1415827_a_at,2774.71
1415828_a_at,1344.87
1415829_at,750.08
1415830_at,387.04
1415831_at,3061.03
1415832_at,2.68
1415833_x_at,17744.41
1415834_at,771.17
1415835_at,27.54
1415836_at,229.69
1415837_at,9.17
1415838_at,2881.91
1415839_a_at,11282.37
1415840_at,1621.28
1415841_at,2055.42
1415842_at,70.15
1415843_at,23.71
1415844_at,18.03
1415845_at,39.69
1415846_a_at,1.82
1415847_at,22
1415848_at,30.33
1415849_s_at,595.74
1415850_at,555.02
1415851_a_at,1322.79
1415852_at,1402.34
1415853_at,127.38
1415854_at,81.99
1415855_at,893.48
1415856_at,358.82
1415857_at,309.36
1415858_at,3340.47
1415859_at,966.6
1415860_at,1735.31
1415861_at,8.62
1415862_at,14.57
1415863_at,10663.27
1415864_at,128.82
1415865_s_at,233.06
1415866_at,203.14
1415867_at,6517.66
1415868_at,51.55
1415869_a_at,882.77
1415870_at,4847.8
1415871_at,194.36
1415872_at,4654.91
1415873_a_at,1251.18
1415874_at,124.71
1415875_at,21.67
1415876_a_at,12717.98
1415877_at,112.03
1415878_at,407.1
1415879_a_at,19989.14
1415880_a_at,6385.13
1415881_at,2166.44
1415882_at,5484.08
1415883_a_at,1.06
1415884_at,54.39
1415885_at,28.99
1415886_at,27.49
1415887_at,2477.25
1415888_at,1830.45
1415889_a_at,8899.11
1415890_at,652.89
1415891_at,2001.91
1415892_at,1173.16
1415893_at,12.93
1415894_at,307.74
1415895_at,672.54
1415896_x_at,593.68
1415897_a_at,14847.52
1415898_at,5.9
1415899_at,4152.46
1415900_a_at,6.76
1415901_at,1533.26
1415902_at,11.32
1415903_at,147.05
1415904_at,17754.52
1415905_at,15.9
1415906_at,13043.4
1415907_at,1139.9
1415908_at,1254.59
1415909_at,2045.86
1415910_s_at,579.87
1415911_at,4636.73
1415912_a_at,8155.11
1415913_at,196.98
1415914_at,6547.28
1415915_at,1523.43
1415916_a_at,295.82
1415917_at,307.86
1415918_a_at,9729.14
1415919_at,548.1
1415920_at,1852.31
1415921_a_at,24.41
1415922_s_at,911.86
1415923_at,428.43
1415924_at,2.51
1415925_a_at,623.97
1415926_at,496.34
1415927_at,5.25
1415928_a_at,5810.77
1415929_at,1858.15
1415930_a_at,5290.65
1415931_at,9.2
1415932_x_at,74.87
1415933_a_at,7707.57
1415934_at,1353.03
1415935_at,23.93
1415936_at,120.44
1415937_s_at,229.86
1415938_at,10.6
1415939_at,276.96
1415940_at,4630.75
1415941_s_at,3145.23
1415942_at,14652.43
1415943_at,6422.52
1415944_at,1491.65
1415945_at,104.91
1415946_at,276.76
1415947_at,2780.64
1415948_at,3586.05
1415949_at,6237.55
1415950_a_at,4588.11
1415951_at,355.94
1415952_at,726.57
1415953_s_at,129.98
1415954_at,12.86
1415955_x_at,34.57
1415956_a_at,233.45
1415957_a_at,633.64
1415958_at,141.92
1415959_at,32.85
1415960_at,36.67
