Entrez_ID,Gene,scBAT_counts,iBAT_counts,WAT_counts,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu
223774,Alg12,271,282,451.6667,111.0467,125.3067,133.39,114.2033,129.2367,126.6967
223775,Pim3,2420.6667,2685,3182,1025.61,1110.4833,1155.05,1283.36,1643.4433,1340.56
223780,Adm2,10,0.33333,19.3333,52.24,170.79,123.32,66.32,129.46,74.5
223809,Smgc,0,0,0,10.745,4.405,4.35,5.55,6.795,7.975
223825,Mroh2b,0,0,0,50,39.61,1,12,48.45,20.46
223827,Gxylt1,523.6667,525.6667,1434,349.35,377.53,472.79,388.72,381.49,348.49
223828,Pphln1,759,750,1415,535.975,462.275,421.39,486.195,306.69,461.72
223838,Adamts20,26,23.3333,100.6667,1,14.2,9.21,6.27,6.82,6.5
223843,Dbx2,0,0.33333,5,31.71,41.6,31.6,44.63,32.04,17.7
223864,Rapgef3,782,770.3333,1075,19.534,16.116,32.94,30.726,14.256,13.59
223870,Senp1,479.6667,486.3333,1413.6667,103.36,119.1533,149.06,116.78,138.2267,112.6
223881,Rnd1,35.3333,44,93,47.38,63.84,34.68,22.04,25.33,35.83
223915,Krt73,0.33333,0,0,24.95,14.49,20.76,22.7,11.41,5.13
223917,Krt79,248,265,80.3333,73.48,65.03,56.96,45.15,99.99,58.21
223918,Spryd3,594.6667,559.3333,936.3333,114.44,116.19,122.18,127.29,157.07,115.14
223920,Soat2,2.6667,1.6667,19,78.31,94.15,160.07,96.5,72.18,55.96
223921,Aaas,255.3333,283,598.6667,388.48,185.06,359.47,237.02,321.58,291.66
223922,Atf7,307.6667,307.6667,525.6667,38.485,47.32,32.385,42.325,53.3,40.095
223970,Rmi2,2.3333,2.3333,81,36.08,29.69,27.46,35.92,20.15,26.33
223978,Cpped1,1821.6667,1546.3333,1404.6667,284.95,252.07,190.535,155.42,203.26,301.85
223989,Marf1,2000.3333,2036.6667,3820,95.42,153.8067,223.6567,166.08,163.78,146.2433
224014,Fgd4,229,280.6667,198.6667,81.398,52.256,48.886,58.938,63.792,59.574
