Var1,Var2
1415960_at,55.96
1415961_at,3668.41
1415962_at,5338.68
1415963_at,3046.2
1415964_at,12892.63
1415965_at,2370.84
1415966_a_at,2111.64
1415967_at,1487.5
1415968_a_at,228.43
1415969_s_at,40.77
1415970_at,9053.97
1415971_at,4010.63
1415972_at,650.44
1415973_at,1177.84
1415974_at,768.34
1415975_at,1828.03
1415976_a_at,581.63
1415977_at,291.2
1415978_at,268.99
1415979_x_at,13429.03
1415980_at,4556.97
1415981_at,1094.4
1415982_at,162.87
1415983_at,29.57
1415984_at,1876.18
1415985_at,1336.96
1415986_at,375.35
1415987_at,2529.6
1415988_at,55.46
1415989_at,65.78
1415990_at,3078.45
1415991_a_at,1146.58
1415992_at,56.18
1415993_at,599.07
1415994_at,1211.41
1415995_at,488.03
1415996_at,3258.89
1415997_at,118.8
1415998_at,2916.05
1415999_at,35.26
1416000_a_at,16952.55
1416001_a_at,131.71
1416002_x_at,256.25
1416003_at,31.45
1416004_at,1591.57
1416005_at,1000.01
1416006_at,59.79
1416007_at,43.62
1416008_at,70.04
1416009_at,3134.08
1416010_a_at,1199.23
1416011_x_at,1268.2
1416012_at,211.99
1416013_at,899.8
1416014_at,245.87
1416015_s_at,615.21
1416016_at,376.28
1416017_at,757.26
1416018_at,827.57
1416019_at,70.91
1416020_a_at,2480.3
1416021_a_at,13554.96
1416022_at,9035.66
1416023_at,34.1
1416024_x_at,3860.76
1416025_at,47.92
1416026_a_at,10580.02
1416027_at,3911.26
1416028_a_at,1869.85
1416029_at,806.39
1416030_a_at,400.96
1416031_s_at,287.8
1416032_at,731.9
1416033_at,32.79
1416034_at,191.34
1416035_at,820.55
1416036_at,3058.2
1416037_a_at,2606.57
1416038_at,789.2
1416039_x_at,3437.39
1416040_at,14.32
1416041_at,1440.26
1416042_s_at,432.35
1416043_at,3.16
1416044_at,981.66
1416045_a_at,689.37
1416046_a_at,373.09
1416047_at,3.89
1416048_at,1308.05
1416049_at,40.07
1416050_a_at,541.14
1416051_at,77.71
1416052_at,325.47
1416053_at,13.93
1416054_at,14990.1
1416055_at,7.28
1416056_a_at,5007.38
1416057_at,4347.4
1416058_s_at,5490.09
1416059_at,1077.63
1416060_at,1311.12
1416061_at,511.87
1416062_at,66.44
1416063_x_at,17.8
1416064_a_at,7920.1
1416065_a_at,342.65
1416066_at,807.96
1416067_at,4894.25
1416068_at,871.75
1416069_at,1749.64
1416070_a_at,517.71
1416071_at,418.7
1416072_at,126.97
1416073_a_at,198.38
1416074_a_at,15299.46
1416075_at,872.73
1416076_at,91.5
1416077_at,1833.3
1416078_s_at,723.01
1416079_a_at,1076.19
1416080_at,380.84
1416081_at,59.28
1416082_at,5242.31
1416083_at,3183.34
1416084_at,1278.47
1416085_s_at,5649.46
1416086_at,1620.78
1416087_at,1048.78
1416088_a_at,14328.35
1416089_at,11747.11
1416090_at,3282.61
1416091_at,993.81
1416092_a_at,923.58
1416093_a_at,1143.68
1416094_at,1910.34
1416095_x_at,2534.1
1416096_at,187.76
1416097_at,33.38
1416098_at,8.44
1416099_at,15602.25
1416100_at,2193.84
1416101_a_at,5677.57
1416102_at,3405.92
1416103_at,1210.99
1416104_at,376.19
1416105_at,406.95
1416106_at,409.42
1416107_at,26.22
1416108_a_at,2155.21
1416109_at,1146.97
1416110_at,356.42
1416111_at,23.62
1416112_at,7639.26
1416113_at,849.72
1416114_at,86.83
1416115_at,402.57
1416116_at,59.12
1416117_at,61.78
1416118_at,109.54
1416119_at,16154.95
1416120_at,52.31
1416121_at,6543.76
1416122_at,3532.05
1416123_at,396.18
1416124_at,37.35
1416125_at,547.46
1416126_at,282.39
1416127_a_at,723.04
1416128_at,70.17
1416129_at,6896.61
1416130_at,935.21
1416131_s_at,1272.52
1416132_at,48.69
1416133_at,1091.85
1416134_at,221.16
1416135_at,994.47
1416136_at,4564.62
1416137_at,447.67
1416138_at,1785.15
1416139_at,62.16
1416140_a_at,518.76
1416141_a_at,15265.51
1416142_at,454.54
1416143_at,5664.28
1416144_a_at,3318.36
1416145_at,2823.87
1416146_at,3345.91
1416147_at,57.89
1416148_at,1418.2
1416149_at,21.25
1416150_a_at,1338.16
1416151_at,471.59
1416152_a_at,328.88
1416153_at,3481
1416154_at,47.21
1416155_at,66.45
1416156_at,1296.06
1416157_at,13.26
1416158_at,129.44
1416159_at,382.81
1416160_at,7.68
1416161_at,1670.5
1416162_at,24.96
1416163_at,553.2
1416164_at,312.02
1416165_at,1166.89
1416166_a_at,911.74
1416167_at,4197.82
1416168_at,10889.81
1416169_at,4.78
1416170_at,800.52
1416171_at,1803.53
1416172_at,1097.5
1416173_at,50.33
1416174_at,199.37
1416175_a_at,3218.82
1416176_at,789.6
1416177_at,1578.11
1416178_a_at,45.95
1416179_a_at,1008.64
1416180_a_at,45.15
1416181_at,1389.09
1416182_at,778.83
1416183_a_at,726.61
1416184_s_at,3800.98
1416185_a_at,2699.29
1416186_at,1097.84
1416187_s_at,395.84
1416188_at,65.08
1416189_a_at,2559.25
1416190_a_at,47.01
1416191_at,48.66
1416192_at,425.04
1416193_at,37.94
1416194_at,48.01
1416195_at,333.78
1416196_at,17.77
1416197_at,1508.61
1416198_at,181.53
1416199_at,419.76
1416200_at,7390.28
1416201_at,340.03
1416202_at,2115.49
1416203_at,1113.47
1416204_at,16.99
1416205_at,460.65
1416206_at,108.95
1416207_at,518.22
1416208_at,629.89
1416209_at,1148.6
1416210_at,2610.66
1416211_a_at,60.13
1416212_at,4772.57
1416213_x_at,1277.22
1416214_at,170.56
1416215_at,390.37
1416216_at,262.84
1416217_a_at,12904.62
1416218_x_at,176.29
1416219_at,15218.21
1416220_at,5617.21
1416221_at,6345.67
1416222_at,379.05
1416223_at,146.95
1416224_at,202.3
1416225_at,849.67
1416226_at,2973.49
1416227_at,144.67
1416228_at,1256.07
1416229_at,268.6
1416230_at,529.14
1416231_at,122.45
1416232_at,8.11
1416233_at,4798.88
1416234_at,4334.43
1416235_at,446.48
1416236_a_at,44.34
1416237_at,56.38
1416238_at,5.93
1416239_at,676.59
1416240_at,1564.48
1416241_at,1564.32
1416242_at,24.95
1416243_a_at,12124.66
1416244_a_at,5169.15
1416245_at,1726.14
1416246_a_at,69.17
1416247_at,3882.96
1416248_at,984.74
1416249_at,227.07
1416250_at,275.05
1416251_at,105.46
1416252_at,701.54
1416253_at,298.68
1416254_a_at,397.37
1416255_at,31.46
1416256_a_at,9383.76
1416257_at,1455.01
1416258_at,171.54
1416259_at,152.35
1416260_a_at,634.68
1416261_at,334.44
1416262_at,79.8
1416263_at,49.91
1416264_at,170.1
1416265_at,114.82
1416266_at,15.75
1416267_at,1124.88
1416268_at,2179.34
1416269_at,5794.14
1416270_at,1881.19
1416271_at,5.79
1416272_at,1577.66
1416273_at,959.08
1416274_at,147.52
1416275_at,37.32
1416276_a_at,15532.77
1416277_a_at,16820.97
1416278_a_at,3942.73
1416279_at,322.67
1416280_at,1222.71
1416281_at,1343.48
1416282_at,1130.96
1416283_at,590.04
1416284_at,678.15
1416285_at,2123.54
1416286_at,1459.43
1416287_at,198.54
1416288_at,5299.89
1416289_at,845.13
1416290_a_at,2209.57
1416291_at,1280.7
1416292_at,1569.34
1416293_at,73.32
1416294_at,462.48
1416295_a_at,5.52
1416296_at,66.05
1416297_s_at,42.63
1416298_at,111.35
