mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
12400,Cbfb,646.6667,2365,539,-1.0726,0.0041023,0.19556,0.13227,NM_022845,CBFB,25.52,8.76,1.54
320840,Negr1,1075.6667,1501.6667,998.3333,0.13775,0.73839,0.031601,0.84083,NM_173808,NEGR1,6.13,2.6,1.24
14579,Gem,34.3333,308.6667,31.3333,-2.404,2.44e-07,0.059004,0.88692,NM_181702,GEM,13.5,6.07,1.15
212679,Mars2,247.6667,408,205,0.05127,0.90423,0.19546,0.41864,NM_138395,MARS2,8.14,3.69,1.14
105689,Mycbp2,2585.3333,11431.6667,2400.3333,-1.3958,1.26e-06,0.046055,0.73363,NM_015057,MYCBP2,21.25,10.59,1
14563,Gdf5,272.6667,102,278,2.0493,9.68e-05,-0.087148,0.66771,NM_000557,GDF5,4.93,1.79,1.46
26399,Map2k6,152,288,143,-0.18899,0.63727,0.02449,0.91833,NM_002758,MAP2K6,9.71,3.42,1.5
14461,Gata2,317.3333,308,366.3333,0.70647,0.090636,-0.27336,0.088848,NM_001145662,GATA2,2.7,0.87,1.63
13618,Ednrb,673,953.6667,749.6667,0.11925,0.77814,-0.22898,0.10148,NM_001122659,EDNRB,42.25,18.04,1.23
229780,Trmt13,66,164.3333,67.3333,-0.54322,0.24892,-0.099089,0.70031,NM_019083,TRMT13,10.94,5.01,1.13
228677,Sptlc3,0.33333,1.3333,0.66667,-1.0925,0.65305,-0.83882,1,NM_018327,SPTLC3,4.97,2.09,1.25
98363,Efhd1,109.6667,193.3333,39.6667,-0.21376,0.70755,1.3969,9e-09,NM_001243252,EFHD1,12.96,5.16,1.33
218441,Zfyve16,635,981.6667,654,0.09726,0.75222,-0.10134,0.49932,NM_014733,ZFYVE16,7.76,3.44,1.17
67291,Ccdc137,308,684,298,-0.40089,0.24347,-0.022266,0.89493,NM_199287,CCDC137,10.97,5.05,1.12
13798,En1,1.3333,64,12.3333,-4.8063,1.93e-09,-3.1549,3.03e-06,NM_001426,EN1,8.57,4.07,1.08
76453,Prss23,481.6667,878,356,-0.21031,0.57333,0.36798,0.011493,NM_007173,PRSS23,43.89,21.87,1
85031,Pla1a,399.3333,438.3333,190.3333,0.47791,0.31982,0.9965,2.15e-09,NM_001206961,PLA1A,2.62,0.27,3.26
68519,Eml1,177,304,121.6667,-0.097521,0.8199,0.47682,0.017198,NM_004434,EML1,7.73,3.8,1.02
71323,Rassf8,337.3333,510.3333,314,0.049922,0.90928,0.040268,0.80492,NM_001164748,RASSF8,25.46,12.45,1.03
67254,2900011O08Rik,0.66667,1,1.3333,0.15889,1,-0.93839,0.70759,NM_001142469,C16orf45,10.26,3.61,1.51
12316,Aspm,20,208.3333,13.6667,-2.5692,1.71e-05,0.47713,0.21006,NM_018136,ASPM,4.17,1.83,1.19
217082,Hlf,2247.6667,1455.6667,2287,1.2658,0.0010716,-0.093304,0.45455,NM_002126,HLF,0.69,0.15,2.25
66917,Chordc1,1016.6667,1729.6667,1014,-0.025057,0.931,-0.067335,0.61474,NM_012124,CHORDC1,NaN,4.26,1.02
319565,Syne2,4408,4462.6667,4075,0.62764,0.08028,0.045918,0.72315,NM_182914,SYNE2,6.17,1.26,2.3
227399,Ppip5k2,342.6667,1376,306.3333,-1.2176,0.0010033,0.094339,0.537,NM_001276277,PPIP5K2,6.61,2.02,1.71
12801,Cnr1,4.6667,214.6667,6.6667,-4.8619,1.22e-12,-0.58192,0.38644,NM_033181,CNR1,7.49,0.59,3.67
80986,Ckap2,4.6667,110.3333,3.6667,-3.7247,2.07e-07,0.27356,0.72175,NM_018204,CKAP2,16.43,7.6,1.11
16709,Ktn1,1152.6667,2205.3333,1127.6667,-0.18164,0.53419,-0.033647,0.79397,NM_001079521,KTN1,19.98,4.95,2.01
16527,Kcnk3,9953,1733,11453.6667,3.1394,1.36e-12,-0.26881,0.023457,NM_002246,KCNK3,5.67,2.45,1.21
224143,Poglut1,426,1563,421,-1.119,0.00036553,-0.048991,0.73882,NM_152305,POGLUT1,9.73,4.83,1.01
13063,Cycs,7358.6667,2211.3333,7593.3333,2.4107,5e-13,-0.10796,0.38804,NM_018947,CYCS,228.73,93.24,1.29
16177,Il1r1,240.3333,1520.3333,201.3333,-1.9681,1.47e-09,0.18289,0.32806,NM_000877,IL1R1,145.83,68.6,1.09
11552,Adra2b,19.3333,9,20.3333,1.7985,0.0019721,-0.1401,0.72883,NM_000682,ADRA2B,0.94,0.1,3.21
11522,Adh1,2865.6667,3582.3333,2759,0.32622,0.36342,-0.0076345,0.95375,NM_000669,ADH1C,0.95,2.09,NaN
15460,Hr,1243,1248.6667,711.3333,0.58679,0.20214,0.71287,0.0043848,NM_005144,HR,3.97,0.87,2.19
110109,Nop2,709.3333,1077,542,0.15873,0.62748,0.31714,0.073266,NM_006170,NOP2,16.48,5.99,1.46
107250,Kazald1,191.3333,84.3333,204,1.8334,0.00017671,-0.1557,0.38627,NM_030929,KAZALD1,4.08,1.5,1.45
11906,Zfhx3,413.3333,447.3333,448.6667,0.50303,0.29033,-0.18255,0.31329,NM_001164766,ZFHX3,5.9,2.67,1.15
70930,Nol8,514.6667,1177.3333,463.6667,-0.41466,0.24133,0.077314,0.65901,NM_017948,NOL8,21.35,7.93,1.43
246154,Vasn,248.3333,971.3333,229.6667,-1.2604,0.00022178,0.041219,0.84869,NM_138440,VASN,52.1,23.3,1.16
98403,Zfp451,350.3333,720.6667,360,-0.29514,0.37412,-0.1031,0.5029,NM_001257273,ZNF451,7.06,2.32,1.61
73288,Ccdc132,681.3333,1036.3333,646,0.10431,0.72939,0.0071349,0.96042,NM_017667,CCDC132,4.42,2.14,1.05
13346,Des,2550.6667,1331,2036,1.7233,1.28e-06,0.26683,0.14883,NM_001927,DES,1.45,0.39,1.9
68550,Tefm,393,301.3333,376.6667,1.072,0.0041762,-0.0028946,0.99274,NM_024683,TEFM,17.72,8.57,1.05
26885,Casp8ap2,363.6667,1132.6667,404.6667,-0.86244,0.013691,-0.22195,0.12193,NM_001137668,CASP8AP2,5.29,1.52,1.8
27205,Podxl,2761,2236.6667,2439.3333,0.95259,0.0092136,0.1138,0.37401,NM_005397,PODXL,7.13,3.29,1.12
230027,Coq3,1023.3333,640.3333,985,1.3365,0.00014831,-0.013346,0.91444,NM_017421,COQ3,17.21,8.21,1.07
54611,Pde3a,167.6667,120.6667,169,1.1814,0.0052436,-0.071319,0.77283,NM_001244683,PDE3A,2.12,0.59,1.84
74166,Tmem38a,817.6667,145.3333,449,3.1699,1.53e-11,0.8049,0.010935,NM_024074,TMEM38A,3.97,1.38,1.52
23894,Gtf2h2,219,452.6667,213.3333,-0.28806,0.44639,-0.030683,0.86743,NM_001515,GTF2H2,1.41,2.37,1.92
69354,Slc38a4,64.6667,142.3333,16.3333,-0.35201,0.51158,1.9138,3.23e-05,NM_001143824,SLC38A4,4.6,1.04,2.14
12780,Abcc2,9.6667,16,14.3333,-0.063714,0.95441,-0.62919,0.17951,NM_000392,ABCC2,1,0.34,1.56
50915,Grb14,1414.6667,891.6667,1407.6667,1.2933,0.0050649,-0.041858,0.83868,NM_004490,GRB14,3.23,1.21,1.42
76464,Casc5,5,203,10,-4.4936,4.91e-09,-1.0443,0.063916,NM_144508,CASC5,2.98,1.05,1.51
192167,Nlgn1,1,0.66667,0,1.1251,0.72247,3.1408,0.26393,NM_014932,NLGN1,2.89,1.29,1.16
242083,Ppm1l,332,309,295,0.8006,0.03121,0.10235,0.52665,NM_139245,PPM1L,2.27,0.8,1.5
72023,Cyb561d1,483,1051.3333,508,-0.33522,0.34963,-0.13327,0.39816,NM_001134402,CYB561D1,4.04,1.78,1.18
21414,Tcf7,34.3333,5980.6667,33.6667,-6.5932,1.43e-14,-0.040042,0.96408,NM_201632,TCF7,3.83,1.29,1.58
17300,Foxc1,86.6667,46.3333,30,1.56,0.0062147,1.4361,0.00061646,NM_001453,FOXC1,2.49,0.92,1.44
15384,Hnrnpab,3091.3333,4900.3333,2959.6667,0.078236,0.78123,-0.0079501,0.94802,NM_004499,HNRNPAB,134.59,42.71,1.66
67045,Riok2,601.3333,968,590.3333,0.046444,0.8811,-0.041633,0.79036,NM_018343,RIOK2,8.09,3.88,1.06
66873,Tril,168.3333,355,152.3333,-0.42482,0.35127,0.077513,0.70667,NM_014817,TRIL,1.96,0.68,1.54
93891,Pcdhb20,35.3333,57.6667,34.6667,-0.019394,0.98218,-0.043804,0.92492,NM_018934,PCDHB14,0.69,0.14,2.26
29862,Ninj2,2.3333,4,0,-0.028755,1,4.2518,0.025555,NM_016533,NINJ2,3.02,0.79,1.94
12006,Axin2,615.6667,600.3333,489,0.79869,0.019307,0.26173,0.087431,NM_004655,AXIN2,4.1,1.8,1.19
77805,Esco1,484.3333,1563.3333,507.3333,-0.89363,0.020954,-0.13665,0.30956,NM_052911,ESCO1,4.63,2.3,1.01
329504,Lcmt2,342.3333,403.6667,322,0.49913,0.15683,0.017223,0.92353,NM_014793,LCMT2,6.35,3.06,1.05
15900,Irf8,107,4717.6667,129.3333,-4.6308,9.74e-13,-0.34402,0.17708,NM_002163,IRF8,1.21,0.29,2.06
68588,Cthrc1,7.6667,20.6667,5.6667,-0.74445,0.24649,0.35976,0.58389,NM_001256099,CTHRC1,38.98,14.96,1.38
12700,Cish,2753.3333,945.3333,2198,2.1324,7.42e-06,0.24048,0.39589,NM_145071,CISH,2.98,1.06,1.49
319448,Fndc3a,1133.3333,2473,965.6667,-0.40893,0.15486,0.15444,0.27627,NM_014923,FNDC3A,17.69,6.74,1.39
72201,Otud6b,1653.6667,1572.3333,1566,0.76748,0.010542,0.013165,0.91832,NM_016023,OTUD6B,6.03,2.92,1.05
57741,Noc2l,733,1963.3333,655.6667,-0.63774,0.057562,0.094426,0.45115,NM_015658,NOC2L,9.65,4.8,1.01
381045,Ccdc58,436,288.6667,438.3333,1.3221,0.00015572,-0.072842,0.61274,NM_001017928,CCDC58,26.77,12.47,1.1
74132,Rnf6,1281.6667,1753.6667,1238,0.27426,0.32547,-0.018764,0.8798,NM_183043,RNF6,13.43,6.52,1.04
70834,Spag9,5339.6667,6894.3333,5328,0.32735,0.25621,-0.063101,0.59329,NM_001130528,SPAG9,15.66,5.58,1.49
216766,Gemin5,580,934,450.6667,0.060327,0.84559,0.29833,0.027632,NM_015465,GEMIN5,10.59,4.9,1.11
105522,Ankrd28,1367.3333,1142,1302,0.99991,0.00042088,0.0062948,0.96197,NM_015199,ANKRD28,9.23,2.24,2.04
71738,Mamdc2,92.6667,123.3333,78,0.23581,0.63766,0.18071,0.44606,NM_153267,MAMDC2,7.36,3.64,1.02
13390,Dlx1,1,0.66667,1.3333,1.1452,0.42303,-0.43728,1,NM_178120,DLX1,2.43,0.3,3.03
66859,Slc16a9,62,427.3333,31.6667,-2.0572,5e-07,0.89818,0.0016031,NM_194298,SLC16A9,1.3,0.41,1.67
13717,Eln,791.3333,2896.3333,641.6667,-1.2088,0.0008248,0.23439,0.16268,NM_001081752,ELN,10.84,0.6,4.18
320910,Itgb8,6.3333,53,6.3333,-2.2949,0.0023287,-0.075198,1,NM_002214,ITGB8,2.04,1,1.03
17112,Tm4sf1,924.3333,1478.6667,923,-0.0031342,0.99254,-0.070874,0.59309,NM_014220,TM4SF1,46.75,21.03,1.15
15439,Hp,17424.3333,28010.6667,13414,-0.050781,0.89456,0.30409,0.050199,NM_001126102,HP,78.97,34.88,1.18
230126,Shb,873,280.6667,692,2.3189,2.4e-08,0.2393,0.52791,NM_003028,SHB,2.72,1.31,1.05
14911,Thumpd3,498,936.6667,442.6667,-0.16435,0.60204,0.098571,0.504,NM_015453,THUMPD3,15.18,7.56,1.01
217265,Abca5,255.3333,389,258,0.058426,0.89333,-0.074651,0.69623,NM_018672,ABCA5,1.82,0.77,1.25
230484,Usp1,794.3333,1671,740,-0.31212,0.29968,0.034821,0.77889,NM_001017416,USP1,9.79,4.41,1.15
18627,Per2,1336.3333,1291.3333,1354.6667,0.68777,0.061709,-0.10088,0.58549,NM_022817,PER2,2.87,1.42,1.01
16542,Kdr,3868.6667,4554,4451.3333,0.43731,0.1658,-0.26781,0.045539,NM_002253,KDR,1.71,0.62,1.45
27261,Dok3,25.6667,1446,35.3333,-4.964,5.8e-11,-0.52067,0.1187,NM_001144876,DOK3,1.24,0.28,2.12
15159,Hccs,1113.3333,652.6667,1269.3333,1.5014,4.02e-07,-0.25189,0.045825,NM_001171991,HCCS,21.97,8.78,1.32
73284,Ddit4l,175.6667,27,52,3.4523,1.61e-08,1.6934,0.0011885,NM_145244,DDIT4L,4.73,2.14,1.14
13036,Ctsh,476.3333,4015.3333,263.6667,-2.3243,5.68e-12,0.76927,0.00012368,NM_004390,CTSH,7.43,3.16,1.24
52705,Krr1,540,998.3333,511.6667,-0.12708,0.6959,0.0074437,0.96568,NM_007043,KRR1,25.1,11.84,1.08
231821,Adap1,241.6667,1155,273.3333,-1.565,4.66e-06,-0.26074,0.23475,NM_006869,ADAP1,2.13,0.77,1.47
106042,Prickle1,365,418.6667,306.3333,0.48355,0.19731,0.18561,0.26259,NM_153026,PRICKLE1,4.44,1.49,1.58
53859,Map3k14,122,1279.6667,102.6667,-2.5767,3.61e-07,0.17831,0.43829,NM_003954,MAP3K14,3.17,1.48,1.1
56707,Zfp111,128,257.6667,137.6667,-0.31349,0.4429,-0.17373,0.38714,NM_001032373,ZNF226,6.11,2.34,1.39
228576,Mall,89,200,94.6667,-0.52808,0.30085,-0.16165,0.45642,NM_005434,MALL,5.08,2.29,1.15
16485,Kcna1,185,210.6667,182,0.45934,0.40393,-0.035375,0.87752,NM_000217,KCNA1,1.02,0.3,1.77
232345,A2m,0,9,0,-5.8227,0.0002334,-Inf,1,NM_000014,A2M,149.27,56.38,1.4
11602,Angpt4,3.3333,15,1.3333,-1.4711,0.060158,1.1861,0.22232,NM_015985,ANGPT4,1.08,0.22,2.27
216350,Tspan8,19.3333,8.6667,7.6667,1.8374,0.0078177,1.235,0.069209,NM_004616,TSPAN8,2.03,0.35,2.55
73690,Glipr1,14.3333,448.6667,13,-4.1346,8.16e-09,0.064697,0.93363,NM_006851,GLIPR1,17.53,7.39,1.25
238871,Pde4d,3664.6667,895,3527,2.7493,2.37e-17,-0.016793,0.92375,NM_001197222,PDE4D,1.82,0.53,1.77
69454,Clic3,43,64.6667,79,0.23049,0.72173,-0.93416,0.0057079,NM_004669,CLIC3,3.18,0.73,2.12
71458,Bcor,571.6667,1936.3333,464.3333,-0.96273,0.020996,0.22055,0.20897,NM_017745,BCOR,10.02,3.22,1.64
12349,Car2,436.3333,169.3333,477.3333,2.1437,2.47e-07,-0.19517,0.17828,NM_000067,CA2,1.52,0.37,2.03
319197,Gpr4,255.6667,408,323,-0.0003275,1,-0.40274,0.013311,NM_005282,GPR4,0.96,0.31,1.64
667772,Myh15,0,7,0.33333,-5.4634,0.0009368,-1.9004,1,NM_014981,MYH15,0.71,0.25,1.48
108760,Galnt16,230,540.6667,157.6667,-0.56813,0.15786,0.47229,0.018456,NM_020692,GALNT16,1,0.21,2.48
244666,Sprtn,471,635,420.6667,0.3106,0.37715,0.083545,0.71829,NM_032018,SPRTN,4.17,1.62,1.36
116904,Alpk3,92.6667,33.3333,59,2.192,4.39e-05,0.57981,0.2238,NM_020778,ALPK3,0.77,0.33,1.21
68738,Acss1,8162.6667,1672.3333,8373.3333,3.0575,2.24e-20,-0.10342,0.40372,NM_001252676,ACSS1,2.49,0.9,1.46
11815,Apod,161.6667,452,71.3333,-0.82628,0.096658,1.1163,4.29e-06,NM_001647,APOD,2285.74,520.93,2.13
71063,Zfp597,490.3333,897,451.3333,-0.10374,0.76533,0.046202,0.756,NM_152457,ZNF597,6.09,2.77,1.14
78923,Chsy3,9,17.6667,6.6667,-0.23687,0.73911,0.36384,0.54447,NM_175856,CHSY3,3.51,1.64,1.1
217262,Abca9,356.3333,1228.6667,266,-1.138,0.0028271,0.34631,0.041249,NM_080283,ABCA9,1.97,0.93,1.08
338354,Zfp780b,234,409.3333,210,-0.055687,0.88533,0.087318,0.61095,NM_001005851,ZNF780B,1.34,0.64,1.07
629059,Fam124a,94,395.6667,80.3333,-1.4576,0.0062271,0.16101,0.48504,NM_001242312,FAM124A,1.95,0.88,1.15
208777,Sned1,166.3333,415.3333,148,-0.62979,0.11894,0.1003,0.63451,NM_001080437,SNED1,5.68,1.46,1.96
30948,Bin1,812.6667,3004.6667,513,-1.0886,0.0038009,0.59881,0.00033802,NM_139351,BIN1,21.77,9.87,1.14
15446,Hpgd,199,1471.3333,152,-2.2145,1e-09,0.31459,0.13131,NM_001256301,HPGD,4.99,1.82,1.46
226098,Hectd2,19,73.3333,13.6667,-1.1659,0.06669,0.39116,0.43818,NM_182765,HECTD2,4.35,2.15,1.02
74186,Ccdc3,1463.3333,2032,1556.6667,0.16822,0.67107,-0.14273,0.40854,NM_031455,CCDC3,3.76,1.61,1.22
208666,Diras1,1,0,0.33333,3.5488,0.15961,1.2448,0.6374,NM_145173,DIRAS1,3.68,1.62,1.18
50724,Sap30l,683.6667,556.6667,735,1.0116,0.0012778,-0.17206,0.17239,NM_024632,SAP30L,5.22,2.52,1.05
73523,Pebp4,0.33333,0.33333,0.33333,0.55068,1,-0.047422,1,NM_144962,PEBP4,2.01,0.36,2.47
72180,Zfp661,169,184.6667,163.6667,0.59304,0.13624,-0.018792,0.93883,NM_001017396,ZNF2,2.89,0.75,1.94
71952,2410016O06Rik,147.6667,300.6667,123,-0.24048,0.59757,0.19978,0.41255,NM_024644,C14orf169,7.26,3.31,1.13
329251,Ppp1r12b,199.3333,277,194,0.23576,0.566,-0.023028,0.92107,NM_001197131,PPP1R12B,2.55,0.52,2.3
12400,Cbfb,646.6667,2365,539,-1.0726,0.0041023,0.19556,0.13227,NM_001755,CBFB,21.34,8.61,1.31
17258,Mef2a,974,1401,986.6667,0.19521,0.48811,-0.084309,0.48794,NM_001130928,MEF2A,17.85,4.6,1.96
18548,Pcsk1,3,15,2.6667,-1.5155,0.060329,0.092247,1,NM_001177876,PCSK1,3.21,1.06,1.6
71175,Nipbl,2238.3333,5501,2207.3333,-0.53695,0.070444,-0.047298,0.69957,NM_015384,NIPBL,10.44,4.78,1.13
53945,Slc40a1,599.6667,613.6667,924.6667,0.70121,0.031515,-0.6758,0.0057456,NM_014585,SLC40A1,4.31,2.14,1.01
319909,Ism1,105.6667,80.6667,87,1.0275,0.054421,0.21577,0.33848,NM_080826,ISM1,1.23,0.42,1.54
232334,Vgll4,1244,726.3333,1320.3333,1.4955,5.87e-07,-0.1571,0.29475,NM_001128219,VGLL4,14.86,6.71,1.15
20218,Khdrbs1,1081,3547.6667,1065,-0.9398,0.0033967,-0.047472,0.70265,NM_001271878,KHDRBS1,2,0,10.62
107351,Kank1,1022.6667,1598.3333,954,-0.0065748,0.98588,0.029337,0.81828,NM_015158,KANK1,9.85,4.46,1.14
66805,Tspan1,1.3333,1.3333,0,0.69253,0.75883,3.5155,0.13543,NM_005727,TSPAN1,1.25,0.31,1.99
22403,Wisp2,4.3333,156.6667,8.3333,-4.5032,1.75e-10,-0.99153,0.12724,NM_003881,WISP2,5.18,1.77,1.55
73720,Cst6,8.6667,8.6667,6.6667,0.71243,0.28677,0.30616,0.61202,NM_001323,CST6,6.13,1.67,1.87
217826,Kcnk13,19,87.6667,6.3333,-1.4764,0.003241,1.4987,0.001781,NM_022054,KCNK13,1.68,0.52,1.7
76936,Hnrnpm,2344.6667,5529,2171.6667,-0.48308,0.096637,0.041158,0.73866,NM_005968,HNRNPM,54.28,20.51,1.4
276770,Eif5a,7231.3333,8440.3333,6972.3333,0.5075,0.065419,-0.016757,0.88924,NM_001099692,EIF5AL1,1,1.27,1.09
11363,Acadl,37778.6667,9527.3333,38401.6667,2.6377,3.48e-12,-0.086533,0.48812,NM_001608,ACADL,3.41,1.28,1.42
13848,Ephb6,39,421,34.6667,-2.6741,1.24e-09,0.10392,0.75109,NM_004445,EPHB6,2.54,1.09,1.23
107747,Aldh1l1,1870,5397.3333,1577,-0.8945,0.022316,0.1715,0.25243,NM_001270365,ALDH1L1,5.34,2.03,1.39
272009,Srsf12,0.33333,31.6667,1.3333,-5.3847,2.75e-05,-1.723,0.3908,NM_080743,SRSF12,1.87,0.8,1.23
234779,Plcg2,70,2387.6667,54.3333,-4.2736,5.55e-13,0.29037,0.29755,NM_002661,PLCG2,1.14,0.42,1.44
77519,Zfp266,647.6667,1395.6667,689,-0.37122,0.20296,-0.15577,0.21398,NM_001130031,ZNF562,7.73,3.45,1.16
108888,Atad3a,2548.6667,1354.6667,2725,1.6211,4.75e-08,-0.15684,0.2304,NM_031921,ATAD3B,3.25,1.44,1.17
11548,Adra1b,11.6667,39.3333,6.6667,-1.0339,0.056633,0.71219,0.24091,NM_000679,ADRA1B,1.92,0.64,1.57
545260,Arsi,44,165.3333,43.6667,-1.2564,0.016529,-0.053982,0.88081,NM_001012301,ARSI,1.08,0.34,1.69
268515,Bahcc1,721.6667,1286.3333,783,-0.20202,0.62153,-0.17926,0.30464,NM_001080519,BAHCC1,0.89,0.42,1.08
20315,Cxcl12,2660.3333,8752.6667,2698.3333,-0.9801,0.00044037,-0.091089,0.45211,NM_000609,CXCL12,17.73,7.33,1.27
54326,Elovl2,3,1.6667,1.6667,1.4471,0.24082,0.74613,0.48573,NM_017770,ELOVL2,2.97,1.36,1.13
107435,Hat1,318.6667,781.3333,324.6667,-0.52805,0.13416,-0.095668,0.55364,NM_003642,HAT1,25.39,12.14,1.06
79264,Krit1,752.3333,1404,780,-0.14177,0.641,-0.11882,0.34325,NM_194454,KRIT1,6.36,2.53,1.33
26410,Map3k8,48.6667,363.3333,42,-2.1023,3.28e-05,0.14621,0.64272,NM_005204,MAP3K8,9.78,3.4,1.52
69993,Chn2,63,175.6667,48.3333,-0.73921,0.11703,0.30822,0.34947,NM_004067,CHN2,1.42,0.52,1.45
68276,Toe1,291.3333,584.6667,252.6667,-0.25019,0.47851,0.14305,0.39747,NM_025077,TOE1,8.08,3.3,1.29
330323,Fam188b,89,173,82,-0.28517,0.52186,0.048329,0.84941,NM_032222,FAM188B,3.29,1.19,1.46
74071,Ifltd1,0,5.6667,0,-5.2811,0.0019925,-Inf,1,NM_001145727,IFLTD1,0.61,0.16,1.91
11988,Slc7a2,171.3333,139.3333,188.3333,0.97765,0.04185,-0.19873,0.37513,NM_001164771,SLC7A2,8.07,0.38,4.42
67847,Sncaip,258.6667,352.3333,256,0.25592,0.49531,-0.046462,0.81875,NM_005460,SNCAIP,0.75,0.2,1.87
17929,Myom1,679,130,383,3.0786,1.31e-11,0.76366,0.012989,NM_019856,MYOM1,1.1,0.45,1.29
504186,Chrna10,8,1.3333,2,3.1905,0.00070836,1.8797,0.0063844,NM_020402,CHRNA10,0.68,0.17,2.02
20713,Serpini1,63.6667,207,71.6667,-0.87592,0.16391,-0.23967,0.34612,NM_001122752,SERPINI1,2.63,1.04,1.33
83397,Akap12,870.3333,2357.3333,875.3333,-0.7861,0.027521,-0.080887,0.54582,NM_144497,AKAP12,51.44,21.5,1.26
434215,Lrrc32,188,733.6667,220,-1.2383,0.00036302,-0.29634,0.099426,NM_005512,LRRC32,9.7,3.31,1.55
11789,Apc,1838,3829.6667,1744.6667,-0.33624,0.22187,0.0063739,0.96011,NM_000038,APC,5.15,2.28,1.17
66315,Senp7,398,1462,395.6667,-1.1047,0.0013048,-0.062659,0.67208,NM_020654,SENP7,2.72,1.22,1.16
18511,Pax9,145.3333,1,5.6667,7.6344,2.96e-12,4.5262,6.43e-09,NM_006194,PAX9,1.17,0.43,1.43
80751,Rnf34,585.3333,870.3333,552.3333,0.1852,0.56614,0.013234,0.93325,NM_194271,RNF34,1.78,0,11.21
18573,Pde1a,917.3333,1397,842.3333,0.032765,0.93467,0.061225,0.64054,NM_001258313,PDE1A,3.85,0.17,4.52
72371,2210408I21Rik,100.6667,149.3333,96.6667,0.080328,0.87329,-0.010719,0.98181,NM_001145678,KIAA0825,0.98,0.42,1.21
68016,Murc,58.6667,11.3333,32.6667,3.0627,4.4e-07,0.78559,0.051364,NM_001018116,MURC,0.72,0.2,1.84
20672,Sox18,806.3333,1030,842.3333,0.34418,0.28857,-0.1224,0.38833,NM_018419,SOX18,0.97,0.24,2.04
12830,Col4a5,178,375.3333,139.6667,-0.46948,0.362,0.28219,0.15711,NM_000495,COL4A5,2.1,0.36,2.54
74112,Usp16,1383.3333,1587.3333,1397.3333,0.54701,0.056853,-0.083515,0.52049,NM_006447,USP16,15.91,4.77,1.74
72662,Dis3,302,648,297.3333,-0.32444,0.38361,-0.041563,0.80559,NM_014953,DIS3,10.35,4.16,1.31
11514,Adcy8,23,0.66667,1.6667,5.472,2.57e-06,3.5868,5.52e-05,NM_001115,ADCY8,0.66,0.13,2.36
66269,Tmed6,0,1.3333,0.33333,-3.2204,0.28614,-1.9004,1,NM_144676,TMED6,1.42,0.33,2.11
70598,Filip1,306.3333,301,344.3333,0.70479,0.086701,-0.23381,0.16686,NM_015687,FILIP1,0.93,0.34,1.43
15483,Hsd11b1,5897.3333,6412,4810,0.5201,0.1428,0.2136,0.17507,NM_005525,HSD11B1,23.19,9.49,1.29
17702,Msx2,0.66667,0,0,3.0216,0.5198,2.6379,0.50737,NM_002449,MSX2,7.72,3.7,1.06
11856,Arhgap6,59.3333,192.3333,50.3333,-0.97605,0.021178,0.17044,0.53173,NM_013423,ARHGAP6,3.22,1.41,1.19
13371,Dio2,2491.3333,29.3333,2105,7.1162,4.87e-58,0.16508,0.42848,NM_001007023,DIO2,3.87,0.05,6.15
68810,Nexn,136.3333,127,63.6667,0.79742,0.12768,1.0309,0.021716,NM_144573,NEXN,3.15,0.93,1.76
22696,Zfp37,45,92.6667,50.6667,-0.34908,0.46169,-0.23501,0.41643,NM_003408,ZFP37,1.41,0.57,1.32
16709,Ktn1,1152.6667,2205.3333,1127.6667,-0.18164,0.53419,-0.033647,0.79397,NM_004986,KTN1,20.76,9.49,1.13
16880,Lifr,1722,3358,1810.3333,-0.29489,0.3626,-0.13633,0.37004,NM_002310,LIFR,7.97,3.81,1.06
16909,Lmo2,250.6667,1748,230.6667,-2.0065,1.31e-06,0.048563,0.79423,NM_001142315,LMO2,5.16,2.3,1.17
14229,Fkbp5,1793.6667,3436.6667,1085.3333,-0.30211,0.41107,0.63808,0.051384,NM_004117,FKBP5,249,119.74,1.06
213208,Il20rb,43.3333,93,41.3333,-0.38702,0.3883,0.0019147,1,NM_144717,IL20RB,4.9,2.2,1.15
268564,Zbtb1,357,1272.3333,368,-1.0573,0.0024977,-0.11378,0.45378,NM_014950,ZBTB1,6.74,2.69,1.32
106248,Qtrtd1,352.3333,518.6667,334.3333,0.20029,0.57932,0.0039597,0.98976,NM_001256835,QTRTD1,7.53,3.38,1.16
20254,Scg2,0,4.3333,0,-4.798,0.0088084,-Inf,1,NM_003469,SCG2,1.54,0.57,1.44
21898,Tlr4,137.3333,1124,199.6667,-2.3461,1.06e-10,-0.60711,0.0021366,NM_138554,TLR4,8.68,1.98,2.13
208144,Dhx37,392,654,328.6667,0.014595,0.96691,0.18533,0.25613,NM_032656,DHX37,1.96,0.96,1.03
20349,Sema3e,20.3333,35.6667,10.6667,-0.22039,0.75117,0.85854,0.037954,NM_001178129,SEMA3E,0.71,0.22,1.72
244954,Prss35,0.33333,0,0.33333,2.1744,1,-0.052461,1,NM_153362,PRSS35,0.78,0.27,1.56
