mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
20383,Srsf3,1238,3877.6667,1296.6667,-0.86843,0.0082613,-0.13601,0.28765,NM_003017,SRSF3,228.4,73.58,1.63
76574,Mfsd2a,115,22.6667,124,3.0593,2.71e-05,-0.25149,0.77733,NM_032793,MFSD2A,20.18,8.17,1.3
22288,Utrn,4010.6667,12490.3333,3614.3333,-0.96167,0.0020819,0.083904,0.48709,NM_007124,UTRN,27.13,11.59,1.23
13380,Dkk1,0.33333,0.33333,0,0.5481,1,1.8522,1,NM_012242,DKK1,104.03,46.18,1.17
330863,Trim67,1131,276.3333,1306.3333,2.6594,4.81e-09,-0.26825,0.051211,NM_001004342,TRIM67,0.76,0.08,3.24
109731,Maob,4118.3333,2202.6667,3728.3333,1.5401,5.47e-05,0.075684,0.52548,NM_000898,MAOB,14.15,5,1.5
65112,Pmepa1,4832,4821,3556.6667,0.61437,0.17884,0.36331,0.15369,NM_199170,PMEPA1,5.64,2.05,1.46
240614,Ranbp6,1005.3333,1276.6667,911,0.40728,0.16186,0.077061,0.52443,NM_012416,RANBP6,9.4,4.15,1.18
67834,Idh3a,25036,6591.6667,27275.6667,2.5814,4.14e-12,-0.18392,0.1648,NM_005530,IDH3A,68.77,30.99,1.15
319713,Ablim3,2257,2216,2588,0.68035,0.067698,-0.25601,0.098962,NM_014945,ABLIM3,50.43,22.9,1.14
13664,Eif1a,1260.3333,1816,1055,0.17848,0.53634,0.1796,0.2563,NM_001412,EIF1AX,50.91,23.15,1.14
84652,Fam126a,324.6667,1259,270.3333,-1.2267,7.45e-05,0.19165,0.26416,NM_032581,FAM126A,36.88,17.29,1.09
65961,Utp3,555.6667,1353.3333,508.3333,-0.51955,0.10775,0.057896,0.69871,NM_020368,UTP3,60.69,28.74,1.08
17984,Ndn,710.3333,702.3333,739.6667,0.66534,0.090827,-0.11573,0.47338,NM_002487,NDN,12.37,0.16,6.31
15558,Htr2a,3.3333,10,5.3333,-0.95975,0.29961,-0.72634,0.38126,NM_000621,HTR2A,1.02,0.11,3.18
19736,Rgs4,252.6667,338,231.6667,0.26555,0.49593,0.059338,0.73165,NM_001113381,RGS4,7.15,1.17,2.61
12818,Col14a1,449.6667,994.3333,181.3333,-0.48107,0.17446,1.2342,1.64e-10,NM_021110,COL14A1,1,0.2,2.32
66580,Esf1,418,832,354,-0.23976,0.47469,0.16599,0.32234,NM_001276380,ESF1,10.61,3.96,1.42
13007,Csrp1,1091,3604.3333,1163,-1.0082,0.0003159,-0.16181,0.19597,NM_001193572,CSRP1,82.21,34.29,1.26
100710,Pds5b,989.6667,2004.6667,1021,-0.27012,0.34426,-0.11038,0.37743,NM_015032,PDS5B,9.81,4.42,1.15
14172,Fgf18,9.6667,22.6667,10.3333,-0.59145,0.39385,-0.16326,0.75139,NM_003862,FGF18,2.23,0.19,3.54
237847,Rtn4rl1,174,1059.6667,160.3333,-1.9549,1.65e-06,0.05217,0.79153,NM_178568,RTN4RL1,3.41,0.56,2.6
225358,Fam13b,225.6667,1314.6667,254,-1.7577,6.38e-06,-0.24099,0.17759,NM_001101801,FAM13B,8.4,1.58,2.41
15399,Hoxa2,67.3333,38,53.6667,1.5165,0.002659,0.27068,0.32796,NM_006735,HOXA2,3.56,0.76,2.22
381990,Zbtb2,307,607.3333,284.6667,-0.19169,0.63358,0.045483,0.80252,NM_020861,ZBTB2,11.38,4.93,1.21
382038,Urb2,284,602.3333,245.3333,-0.31443,0.40479,0.13814,0.45563,NM_014777,URB2,6.01,2.61,1.2
20975,Synj2,552.3333,634.3333,517.3333,0.54589,0.089485,0.033825,0.8284,NM_001178088,SYNJ2,14.32,6.41,1.16
233781,Xylt1,25.6667,232,22,-2.3928,1.9e-06,0.15979,0.6942,NM_022166,XYLT1,13.35,6.09,1.13
19134,Prpf4b,2078,3923.3333,2111.6667,-0.15527,0.60185,-0.092815,0.44982,NM_003913,PRPF4B,19.55,9.07,1.11
16924,Lnx1,373.3333,435,436.3333,0.43273,0.27762,-0.30162,0.087364,NM_032622,LNX1,5.14,1.56,1.73
244668,Sipa1l2,407,1213.3333,344.3333,-0.90299,0.0093672,0.16345,0.41342,NM_020808,SIPA1L2,2.4,0.8,1.59
67296,Socs4,267.6667,674.6667,295,-0.5609,0.12605,-0.20154,0.23815,NM_199421,SOCS4,7.52,2.64,1.51
269470,Wdr3,378.6667,1264.3333,325.3333,-0.95593,0.0074073,0.15076,0.34003,NM_006784,WDR3,21.83,10.66,1.03
18430,Oxtr,21.6667,183.6667,8,-2.4516,2.67e-05,1.3502,0.002209,NM_000916,OXTR,3.39,1.04,1.7
170721,Papln,71.3333,143.3333,88.3333,-0.32355,0.4747,-0.37405,0.09864,NM_173462,PAPLN,4.26,1.68,1.34
108654,Fam210a,7869.6667,2399,8021.6667,2.3874,3.42e-13,-0.09597,0.42241,NM_152352,FAM210A,16.2,7.54,1.1
544971,Bdp1,826.6667,1953,853.6667,-0.47336,0.13188,-0.11661,0.34947,NM_018429,BDP1,10.75,5.11,1.07
13392,Dlx2,0.66667,0,0,3.0104,0.51954,2.6338,0.50707,NM_004405,DLX2,3.16,0.25,3.66
81906,Cyp4x1,0,0,0,Inf,1,-Inf,1,NM_178033,CYP4X1,4.02,0.62,2.69
18164,Nptx1,1.6667,7,3.6667,-1.2544,0.23896,-1.15,0.25043,NM_002522,NPTX1,1.37,0.24,2.52
104271,Tex15,54.3333,22,4.3333,2.0796,0.03588,3.5041,9.4e-05,NM_031271,TEX15,0.93,0.16,2.51
54409,Ramp2,889,1351.3333,797.3333,0.076975,0.81307,0.097497,0.50034,NM_005854,RAMP2,18.87,4.18,2.18
11906,Zfhx3,413.3333,447.3333,448.6667,0.50303,0.29033,-0.18255,0.31329,NM_006885,ZFHX3,4.24,1.15,1.88
240055,Neurl1b,192.6667,361,203.3333,-0.19245,0.62202,-0.13681,0.52492,NM_001142651,NEURL1B,2.32,0.73,1.67
73124,Golim4,1311.3333,1751.6667,1427,0.2647,0.39957,-0.18516,0.15377,NM_014498,GOLIM4,27.43,13.49,1.02
14049,Eya2,67.6667,232,38.3333,-1.0035,0.04791,0.73939,0.015882,NM_005244,EYA2,6.35,1.08,2.56
246104,Rhbdl3,65.3333,253.3333,67.6667,-1.2286,0.0031446,-0.12479,0.66148,NM_138328,RHBDL3,1.05,0.21,2.34
545486,Tubb1,5.6667,22.6667,10.6667,-1.229,0.064801,-0.95995,0.074285,NM_030773,TUBB1,2.27,0.6,1.92
76142,Ppp1r14c,22,5.6667,10.3333,2.6624,0.00038313,1.0196,0.091003,NM_030949,PPP1R14C,10.04,3.8,1.4
20472,Six2,16.6667,0.33333,2.3333,5.8029,1.15e-07,2.6736,0.00014697,NM_016932,SIX2,9.56,3.74,1.36
268977,Ltbp1,287,893.6667,139.6667,-0.98001,0.0092925,0.96289,3.05e-06,NM_001166265,LTBP1,21.5,8.57,1.33
57753,Noc3l,327.6667,735,272.6667,-0.40446,0.24916,0.19421,0.28354,NM_022451,NOC3L,12.83,5.97,1.1
20681,Sox8,3.3333,19.6667,2,-1.7329,0.033604,0.65122,0.51757,NM_014587,SOX8,1.11,0.09,3.7
668212,Efr3b,195,238,219.6667,0.38779,0.36172,-0.23768,0.19368,NM_014971,EFR3B,0.66,0.15,2.11
13612,Edil3,18.6667,13.3333,18.3333,1.141,0.066742,-0.032404,1,NM_005711,EDIL3,11.44,5.05,1.18
13382,Dld,18964.6667,6014.3333,19071,2.3197,3.19e-11,-0.073345,0.54324,NM_000108,DLD,68,30.9,1.14
235497,Leo1,234.6667,461.3333,168,-0.22803,0.54849,0.41181,0.081925,NM_138792,LEO1,48.81,24.12,1.02
18654,Pgf,29,90.6667,27.3333,-0.88851,0.065147,0.010583,1,NM_001207012,PGF,8.03,0.88,3.19
12841,Col9a3,11.3333,35.6667,10.3333,-0.8801,0.15312,0.066024,1,NM_001853,COL9A3,11.8,1.74,2.76
23984,Pde10a,155.3333,142.6667,157.6667,0.8476,0.039123,-0.092743,0.65606,NM_001130690,PDE10A,1.75,0.28,2.62
239114,Il17d,46.3333,71,35.3333,0.00032078,1,0.32186,0.23918,NM_138284,IL17D,6.12,1.82,1.75
66895,Pxdc1,227.6667,1353.3333,219.3333,-1.7896,7.76e-07,-0.0069773,0.98125,NM_183373,PXDC1,27.73,12.58,1.14
64144,Mllt1,749.6667,1258.3333,686,-0.0049782,0.98837,0.05715,0.68525,NM_005934,MLLT1,11.47,5.65,1.02
210009,Mtrr,261.3333,565.6667,234,-0.37457,0.2848,0.089695,0.60075,NM_024010,MTRR,29.45,8.91,1.72
20312,Cx3cl1,89.3333,224.3333,97,-0.54696,0.24235,-0.18721,0.41411,NM_002996,CX3CL1,4.07,1.24,1.72
57875,Angptl4,5506.3333,7121.6667,5799.3333,0.27355,0.49331,-0.12333,0.58327,NM_001039667,ANGPTL4,107.09,33.83,1.66
241989,Pabpc4l,6,24,4,-1.2703,0.06324,0.53395,0.51209,NM_001114734,PABPC4L,2.6,0.86,1.59
234378,Klhl26,564,693,511.3333,0.40558,0.20176,0.073595,0.57938,NM_018316,KLHL26,4.34,1.48,1.56
54367,Zfp326,466.3333,737,503.3333,0.070842,0.82365,-0.17381,0.25631,NM_182976,ZNF326,13.09,5.71,1.2
