ID,Gene Symbol,ENTREZ_GENE_ID
1415865_s_at,Bpgm,12183
1415866_at,Unc45a,101869
1415867_at,Cct4,12464
1415868_at,Cct4,12464
1415869_a_at,Trim28,21849
1415870_at,Calu,12321
1415871_at,Tgfbi,21810
1415872_at,Hnrnph1,59013
1415873_a_at,Actr1a,54130
1415874_at,Spry1,24063
1415875_at,3010003L21Rik,109163
1415876_a_at,Rps26,27370
1415877_at,Dpysl3,22240
1415878_at,Rrm1,20133
1415879_a_at,Rplp2,67186
1415880_a_at,Lamp1,16783
1415881_at,Ghitm,66092
1415882_at,Ghitm,66092
1415883_a_at,Cela3b,67868
1415884_at,Cela3b,67868
1415885_at,Chgb,12653
1415886_at,Sh2d3c,27387
1415887_at,Tfg,21787
1415888_at,Hdgf,15191
1415889_a_at,Hsp90b1,22027
1415890_at,Papss1,23971
1415891_at,Suclg1,56451
1415892_at,Sgpl1,20397
1415893_at,Sgpl1,20397
1415894_at,Enpp2,18606
1415895_at,Snrpn /// Snurf,20646 /// 84704
1415896_x_at,Snrpn /// Snurf,20646 /// 84704
1415897_a_at,Mgst1,56615
1415898_at,Mgst1,56615
1415899_at,Junb,16477
1415900_a_at,Kit,16590
1415901_at,Plod3,26433
1415902_at,Aldh7a1,110695
1415903_at,Slc38a1,105727
1415904_at,Lpl,16956
1415905_at,Reg1,19692
1415906_at,Tmsb4x,19241
1415907_at,Ccnd3,12445
1415908_at,Tspyl1,22110
1415909_at,Stip1,20867
1415910_s_at,Ciapin1,109006
1415911_at,Impact,16210
1415912_a_at,Gm15483 /// LOC102642137 /// Rps13 /// Rps13-ps4,68052 /// 628061 /// 100043695 /// 102642137
1415913_at,Gm15483 /// LOC102642137 /// Rps13 /// Rps13-ps4,68052 /// 628061 /// 100043695 /// 102642137
1415914_at,Hnrnpab,15384
1415915_at,Ddx1,104721
1415916_a_at,Mthfd1,108156
1415917_at,Mthfd1,108156
1415918_a_at,Tpi1,21991
1415919_at,Npdc1,18146
1415920_at,Cstf2t,83410
1415921_a_at,Tnfrsf19,29820
1415922_s_at,Marcksl1,17357
1415923_at,Ndn,17984
1415924_at,Tnp1,21958
1415925_a_at,Nup62,18226
1415926_at,Nup62,18226
1415927_at,Actc1,11464
1415928_a_at,Map1lc3b,67443
1415929_at,Map1lc3b,67443
1415930_a_at,Map1lc3b,67443
1415931_at,Igf2,16002
1415932_x_at,Atp9a,11981
1415933_a_at,Cox5a,12858
1415934_at,Cops8,108679
1415935_at,Smoc2,64074
1415936_at,Bcar3,29815
1415937_s_at,Pdcd6ip,18571
1415938_at,Spink3,20730
1415939_at,Fmod,14264
1415940_at,Zfand2a,100494
1415941_s_at,Zfand2a,100494
1415942_at,Gm5621 /// Rpl10,110954 /// 434434
1415943_at,Sdc1,20969
1415944_at,Sdc1,20969
1415945_at,Mcm5,17218
1415946_at,Pigq,14755
1415947_at,Creg1,433375
1415948_at,Creg1,433375
1415949_at,Cpe,12876
1415950_a_at,Pebp1,23980
1415951_at,Fkbp10,14230
1415952_at,Mark2,13728
1415953_s_at,Mark2,13728
1415954_at,Try4 /// Try5,22074 /// 103964
1415955_x_at,Prm1,19118
1415956_a_at,Cdk16,18555
1415957_a_at,Rrp1,18114
1415958_at,Slc2a4,20528
1415959_at,Slc2a4,20528
1415960_at,Mpo,17523
1415961_at,Itm2c,64294
1415962_at,Eif3h,68135
1415963_at,Hnrnph2,56258
1415964_at,Scd1,20249
1415965_at,Scd1,20249
1415966_a_at,Ndufv1,17995
1415967_at,Ndufv1,17995
1415968_a_at,Kap,16483
1415969_s_at,Kap,16483
1415970_at,Cox6c,12864
1415971_at,Marcks,17118
1415972_at,Marcks,17118
1415973_at,Marcks,17118
1415974_at,Map2k2,26396
1415975_at,Carhsp1,52502
1415976_a_at,Carhsp1,52502
1415977_at,Isyna1,71780
1415978_at,Tubb3,22152
1415979_x_at,Rpl7,19989
1415980_at,Atp5g2,67942
1415981_at,Herpud2,80517
1415982_at,Herpud2,80517
1415983_at,Lcp1,18826
1415984_at,Acadm,11364
1415985_at,Sf3b3,101943
1415986_at,Clcn4-2,12727
1415987_at,Hdlbp,110611
1415988_at,Hdlbp,110611
1415989_at,Vcam1,22329
1415990_at,Vdac2,22334
1415991_a_at,Klhdc3,71765
1415992_at,Pigo,56703
1415993_at,Sqle,20775
1415994_at,Cyp2e1,13106
1415995_at,Casp6,12368
1415996_at,Txnip,56338
1415997_at,Txnip,56338
1415998_at,Vdac1,22333
1415999_at,Hey1,15213
1416000_a_at,Gm21399 /// Prdx1,18477 /// 100862012
