Var1,Var2
1415960_at,70.73
1415961_at,3706.59
1415962_at,6601.53
1415963_at,2620.4
1415964_at,18064.95
1415965_at,2169.24
1415966_a_at,1860.32
1415967_at,1770.87
1415968_a_at,275.13
1415969_s_at,18.47
1415970_at,5040.99
1415971_at,3576.79
1415972_at,867.51
1415973_at,1628.41
1415974_at,533.4
1415975_at,3702.26
1415976_a_at,322.64
1415977_at,139.67
1415978_at,93.44
1415979_x_at,15875.66
1415980_at,3268.69
1415981_at,2412.89
1415982_at,583.45
1415983_at,11.89
1415984_at,1681.87
1415985_at,1530.72
1415986_at,453.91
1415987_at,4678.35
1415988_at,265.79
1415989_at,117.89
1415990_at,4542.96
1415991_a_at,1333.87
1415992_at,92.73
1415993_at,497.58
1415994_at,21.39
1415995_at,513.9
1415996_at,8248.58
1415997_at,1801.29
1415998_at,6168.77
1415999_at,38.23
1416000_a_at,12167.32
1416001_a_at,77.23
1416002_x_at,161.05
1416003_at,22.87
1416004_at,1957.78
1416005_at,1552.93
1416006_at,56.86
1416007_at,48.81
1416008_at,108.99
1416009_at,3790.32
1416010_a_at,759.35
1416011_x_at,793.99
1416012_at,127.54
1416013_at,943.5
1416014_at,434.18
1416015_s_at,1104.89
1416016_at,326.27
1416017_at,426.1
1416018_at,1068.89
1416019_at,141.69
1416020_a_at,1074.19
1416021_a_at,4125.79
1416022_at,2201.17
1416023_at,40.51
1416024_x_at,3514.99
1416025_at,4.03
1416026_a_at,12535.61
1416027_at,2375.51
1416028_a_at,1164.95
1416029_at,1453.06
1416030_a_at,293.05
1416031_s_at,304.23
1416032_at,360.74
1416033_at,20.17
1416034_at,123.72
1416035_at,1701.25
1416036_at,4282.48
1416037_a_at,5645
1416038_at,721.49
1416039_x_at,2682.62
1416040_at,30.07
1416041_at,2562.02
1416042_s_at,516.04
1416043_at,1
1416044_at,1260.53
1416045_a_at,643.37
1416046_a_at,664.42
1416047_at,4.14
1416048_at,1044.6
1416049_at,44.16
1416050_a_at,339.96
1416051_at,144.01
1416052_at,385.46
1416053_at,9.96
1416054_at,17182.12
1416055_at,8.8
1416056_a_at,2481.79
1416057_at,2363.26
1416058_s_at,4659.29
1416059_at,944.29
1416060_at,2434.27
1416061_at,1603.65
1416062_at,710.39
1416063_x_at,10.89
1416064_a_at,14012.84
1416065_a_at,619.09
1416066_at,1034.89
1416067_at,8786.97
1416068_at,1282.01
1416069_at,3029.14
1416070_a_at,709.83
1416071_at,866.94
1416072_at,28.02
1416073_a_at,147.94
1416074_a_at,17294.38
1416075_at,1645.27
1416076_at,72.73
1416077_at,4028.52
1416078_s_at,862.05
1416079_a_at,1111.08
1416080_at,309.41
1416081_at,394.68
1416082_at,7002.34
1416083_at,6238.35
1416084_at,1984.45
1416085_s_at,7818.06
1416086_at,1262.36
1416087_at,652.32
1416088_a_at,15399.11
1416089_at,13014.96
1416090_at,2871.23
1416091_at,816.69
1416092_a_at,1153.29
1416093_a_at,462.73
1416094_at,3283.7
1416095_x_at,1363.46
1416096_at,302.01
1416097_at,25.66
1416098_at,2.66
1416099_at,15208.96
1416100_at,3850.89
1416101_a_at,12838.41
1416102_at,5386.04
1416103_at,877.88
1416104_at,211.39
1416105_at,264.92
1416106_at,375.93
1416107_at,2.59
1416108_a_at,2502.23
1416109_at,2049.53
1416110_at,260.78
1416111_at,22.41
1416112_at,6990.04
1416113_at,492.47
1416114_at,375.97
1416115_at,475.69
1416116_at,57.69
1416117_at,51.21
1416118_at,201.93
1416119_at,10866.88
1416120_at,121.35
1416121_at,18151.94
1416122_at,10014.57
1416123_at,1679.09
1416124_at,95.95
1416125_at,4036.57
1416126_at,182.31
1416127_a_at,989.58
1416128_at,32.05
1416129_at,14165.27
1416130_at,3236.96
1416131_s_at,1541.09
1416132_at,176.66
